ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Percent Memory Used,_self,2017-11-10T12:00:00Z,81.44329504,82.63971417,98.33966324,CGWBTL844PD.hq.huskyenergy.com,CGWBTL844PD,Memory Utilization,Baseline,CGWBTL844PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,41.25242621,41.7041428,58.1734855,CGWBTL921PD.hq.huskyenergy.com,CGWBTL921PD,Memory Utilization,Baseline,CGWBTL921PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,98.77316001,99.2584027,99.79857851,CGWDC09.hq.huskyenergy.com,CGWDC09,Memory Utilization,Baseline,CGWDC09.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,72.55516902,72.646723,73.73926714,CGWDC15.hq.huskyenergy.com,CGWDC15,Memory Utilization,Baseline,CGWDC15.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,24.02292124,24.07327559,24.12362993,CGWGGX590PD.hq.huskyenergy.com,CGWGGX590PD,Memory Utilization,Baseline,CGWGGX590PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,15.99729145,16.01541604,16.1728138,CGWHCN002PD.hq.huskyenergy.com,CGWHCN002PD,Memory Utilization,Baseline,CGWHCN002PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,43.15594139,43.3833573,43.64740397,CGWHFN001PD.hq.huskyenergy.com,CGWHFN001PD,Memory Utilization,Baseline,CGWHFN001PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,59.87130178,64.90407272,73.65119791,CGWIPS031PD.hq.huskyenergy.com,CGWIPS031PD,Memory Utilization,Baseline,CGWIPS031PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,61.68954976,62.69065139,67.28106863,CGWKMS669PD.hq.huskyenergy.com,CGWKMS669PD,Memory Utilization,Baseline,CGWKMS669PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,71.59597377,71.80375597,71.9913859,CGWLFA317PD.hq.huskyenergy.com,CGWLFA317PD,Memory Utilization,Baseline,CGWLFA317PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,87.27948491,88.83801251,97.9612994,CGWLZM420PD.hq.huskyenergy.com,CGWLZM420PD,Memory Utilization,Baseline,CGWLZM420PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,21.59208848,22.19513236,22.84944718,CGWNWR1087PD.hq.huskyenergy.com,CGWNWR1087PD,Memory Utilization,Baseline,CGWNWR1087PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,60.94758416,66.93179618,77.58667225,CGWNWR414PD.hq.huskyenergy.com,CGWNWR414PD,Memory Utilization,Baseline,CGWNWR414PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
