"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000fzljAAA","19C070105024W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000g1wbAAA","19C061605223W300","N","0.03627","0","08-MAY-18","Item Updated"
"a8k16000000fxUhAAI","19C060705023W300","N","0.023","256.5","08-MAY-18","Item Updated"
"a8k16000000fzR3AAI","19C060605023W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000g1CSAAY","19C040704923W300","N","0.04181","241.79","08-MAY-18","Item Updated"
"a8k16000000fz7yAAA","19C030605023W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fziEAAQ","19C011304924W300","N","0.04181","111.3","08-MAY-18","Item Updated"
"a8k16000000g1xdAAA","19C010404821W300","N","0.00872","0","08-MAY-18","Item Updated"
"a8k16000000fzHrAAI","19B162705324W300","N","0.0172","215.65","08-MAY-18","Item Updated"
"a8k16000000fxVXAAY","19B140504819W300","N","0.0116","744.45","08-MAY-18","Item Updated"
"a8k16000000fzbDAAQ","19B130704923W300","N","0.01923","0","08-MAY-18","Item Updated"
"a8k16000000g0urAAA","19B130104819W300","N","0","0","08-MAY-18","Item Updated"
